date,driver_number,meeting_key,recording_url,session_key
2023-03-04 11:38:16.500000,4,1141,https://livetiming.formula1.com/static/2023/2023-03-05_Bahrain_Grand_Prix/2023-03-04_Practice_3/TeamRadio/LANNOR01_4_20230304_113731.mp3,7767
2023-03-04 11:39:56.795000,27,1141,https://livetiming.formula1.com/static/2023/2023-03-05_Bahrain_Grand_Prix/2023-03-04_Practice_3/TeamRadio/NICHUL01_27_20230304_113912.mp3,7767
2023-03-04 11:41:02.997000,55,1141,https://livetiming.formula1.com/static/2023/2023-03-05_Bahrain_Grand_Prix/2023-03-04_Practice_3/TeamRadio/CARSAI01_55_20230304_114036.mp3,7767
2023-03-04 11:41:37.059000,55,1141,https://livetiming.formula1.com/static/2023/2023-03-05_Bahrain_Grand_Prix/2023-03-04_Practice_3/TeamRadio/CARSAI01_55_20230304_114109.mp3,7767
2023-03-04 11:42:43.886000,20,1141,https://livetiming.formula1.com/static/2023/2023-03-05_Bahrain_Grand_Prix/2023-03-04_Practice_3/TeamRadio/KEVMAG01_20_20230304_114221.mp3,7767
2023-03-04 11:43:52.432000,27,1141,https://livetiming.formula1.com/static/2023/2023-03-05_Bahrain_Grand_Prix/2023-03-04_Practice_3/TeamRadio/NICHUL01_27_20230304_114320.mp3,7767
2023-03-04 11:44:57.602000,55,1141,https://livetiming.formula1.com/static/2023/2023-03-05_Bahrain_Grand_Prix/2023-03-04_Practice_3/TeamRadio/CARSAI01_55_20230304_114419.mp3,7767
2023-03-04 11:49:55.485000,22,1141,https://livetiming.formula1.com/static/2023/2023-03-05_Bahrain_Grand_Prix/2023-03-04_Practice_3/TeamRadio/YUKTSU01_22_20230304_114924.mp3,7767
2023-03-04 11:51:35.626000,18,1141,https://livetiming.formula1.com/static/2023/2023-03-05_Bahrain_Grand_Prix/2023-03-04_Practice_3/TeamRadio/LANSTR01_18_20230304_115113.mp3,7767
2023-03-04 11:53:15.658000,16,1141,https://livetiming.formula1.com/static/2023/2023-03-05_Bahrain_Grand_Prix/2023-03-04_Practice_3/TeamRadio/CHALEC01_16_20230304_115238.mp3,7767
2023-03-04 11:56:02.184000,1,1141,https://livetiming.formula1.com/static/2023/2023-03-05_Bahrain_Grand_Prix/2023-03-04_Practice_3/TeamRadio/MAXVER01_1_20230304_115549.mp3,7767
2023-03-04 11:58:15.728000,14,1141,https://livetiming.formula1.com/static/2023/2023-03-05_Bahrain_Grand_Prix/2023-03-04_Practice_3/TeamRadio/FERALO01_14_20230304_115752.mp3,7767
