Spain, Rindt, Lotus Ford, 01:28.3, 1969
Monaco, Stewart, Matra Ford, 01:25.1, 1969
Netherlands, Stewart, Matra Ford, 01:22.9, 1969
France, Stewart, Matra Ford, 03:02.7, 1969
Great Britain, Stewart, Matra Ford, 01:21.3, 1969
Germany, Ickx, Brabham Climax, 07:43.8, 1969
Italy, Beltoise, Matra Ford, 01:25.2, 1969
Canada, Ickx, Brabham Climax, 01:18.1, 1969
United States, Rindt, Lotus Ford, 01:04.3, 1969
Mexico, Ickx, Brabham Climax, 01:43.0, 1969
South Africa, Surtees, McLaren Ford, 01:20.8, 1970
Spain, Brabham, Brabham Ford, 01:24.3, 1970
Monaco, Rindt, Lotus Ford, 01:23.2, 1970
Belgium, Amon, March Ford, 03:27.4, 1970
Netherlands, Ickx, Ferrari, 01:19.2, 1970
France, Brabham, Brabham Ford, 03:00.8, 1970
Great Britain, Brabham, Brabham Ford, 01:25.9, 1970
Germany, Ickx, Ferrari, 02:00.5, 1970
Austria, Ickx, Ferrari, 01:40.4, 1970
Italy, Regazzoni, Ferrari, 01:25.2, 1970
Canada, Regazzoni, Ferrari, 01:32.2, 1970
United States, Ickx, Ferrari, 01:02.7, 1970
Mexico, Ickx, Ferrari, 01:43.1, 1970
South Africa, Andretti, Ferrari, 01:20.3, 1971
Spain, Ickx, Ferrari, 01:25.1, 1971
Monaco, Stewart, Tyrrell Ford, 01:22.2, 1971
Netherlands, Ickx, Ferrari, 01:35.0, 1971
France, Stewart, Tyrrell Ford, 01:54.1, 1971
Great Britain, Stewart, Tyrrell Ford, 01:19.9, 1971
Germany, Cevert, Tyrrell Ford, 07:20.1, 1971
Austria, Siffert, BRM, 01:38.5, 1971
Italy, Pescarolo, March Ford, 01:23.8, 1971
Canada, Hulme, McLaren Ford, 01:43.5, 1971
United States, Ickx, Ferrari, 01:43.5, 1971
Argentina, Stewart, Tyrrell Ford, 01:13.7, 1972
South Africa, Hailwood, Surtees Ford, 01:18.9, 1972
Spain, Ickx, Ferrari, 01:21.0, 1972
Monaco, Beltoise, BRM, 01:40.0, 1972
Belgium, Amon, Matra, 01:12.1, 1972
France, Amon, Matra, 02:53.9, 1972
Great Britain, Stewart, Tyrrell Ford, 01:24.0, 1972
Germany, Ickx, Ferrari, 07:13.6, 1972
Austria, Hulme, McLaren Ford, 01:38.3, 1972
Italy, Ickx, Ferrari, 01:36.3, 1972
Canada, Stewart, Tyrrell Ford, 01:15.7, 1972
United States, Stewart, Tyrrell Ford, 01:41.6, 1972
Argentina, Fittipaldi, Lotus Ford, 01:11.2, 1973
Brazil, Fittipaldi, Lotus Ford, 02:35.0, 1973
South Africa, Fittipaldi, Lotus Ford, 01:17.1, 1973
Spain, Peterson, Lotus Ford, 01:23.8, 1973
Belgium, Cevert, Tyrrell Ford, 01:25.4, 1973
Monaco, Fittipaldi, Lotus Ford, 01:28.1, 1973
Sweden, Hulme, McLaren Ford, 01:26.1, 1973
France, Hulme, McLaren Ford, 01:51.0, 1973
Great Britain, Hunt, March Ford, 01:18.6, 1973
Netherlands, Peterson, Lotus Ford, 01:20.3, 1973
Germany, Pace, Surtees Ford, 07:11.4, 1973
Austria, Pace, Surtees Ford, 01:37.3, 1973
Italy, Stewart, Tyrrell Ford, 01:35.3, 1973
Canada, Fittipaldi, Lotus Ford, 01:15.5, 1973
United States, Hunt, March Ford, 01:41.7, 1973
Argentina, Regazzoni, Ferrari, 01:52.1, 1974
Brazil, Regazzoni, Ferrari, 02:36.0, 1974
South Africa, Reutemann, Brabham Ford, 01:18.2, 1974
Spain, Lauda, Ferrari, 01:20.8, 1974
Belgium, Hulme, McLaren Ford, 01:11.3, 1974
Monaco, Peterson, Lotus Ford, 01:27.9, 1974
Sweden, Depailler, Tyrrell Ford, 01:27.3, 1974
Netherlands, Peterson, Lotus Ford, 01:21.4, 1974
France, Scheckter, Tyrrell Ford, 01:00.0, 1974
Great Britain, Lauda, Ferrari, 01:21.1, 1974
Germany, Scheckter, Tyrrell Ford, 07:11.1, 1974
Austria, Regazzoni, Ferrari, 01:37.2, 1974
Italy, Pace, Brabham Ford, 01:34.2, 1974
Canada, Lauda, Ferrari, 01:13.7, 1974
United States, Pace, Brabham Ford, 01:40.6, 1974
Argentina, Hunt, Hesketh Ford, 01:50.9, 1975
Brazil, Jarier, Shadow Matra, 02:34.2, 1975
South Africa, Pace, Brabham Ford, 01:17.2, 1975
Spain, Andretti, Parnelli Ford, 01:25.1, 1975
Monaco, Depailler, Tyrrell Ford, 01:28.7, 1975
Belgium, Regazzoni, Ferrari, 01:26.8, 1975
Sweden, Lauda, Ferrari, 01:28.3, 1975
Netherlands, Lauda, Ferrari, 01:21.5, 1975
France, Mass, McLaren Ford, 01:50.6, 1975
Great Britain, Regazzoni, Ferrari, 01:20.9, 1975
Germany, Regazzoni, Ferrari, 07:06.4, 1975
Austria, Brambilla, March Ford, 01:53.9, 1975
Italy, Regazzoni, Ferrari, 01:33.1, 1975
United States, Fittipaldi, McLaren Ford, 01:43.4, 1975
Brazil, Jarier, Shadow Ford, 02:35.1, 1976
South Africa, Lauda, Ferrari, 01:18.0, 1976
USA West, Regazzoni, Ferrari, 01:23.1, 1976
Spain, Mass, McLaren Ford, 01:20.9, 1976
Belgium, Lauda, Ferrari, 01:26.0, 1976
Monaco, Regazzoni, Ferrari, 01:30.3, 1976
Sweden, Andretti, Lotus Ford, 01:28.0, 1976
France, Lauda, Ferrari, 01:51.0, 1976
Great Britain, Lauda, Ferrari, 01:19.9, 1976
Germany, Scheckter, Tyrrell Ford, 07:10.8, 1976
Austria, Hunt, McLaren Ford, 01:35.9, 1976
Netherlands, Regazzoni, Ferrari, 01:22.6, 1976
Italy, Peterson, March Ford, 01:41.3, 1976
Canada, Depailler, Tyrrell Ford, 01:13.8, 1976
USA East, Hunt, McLaren Ford, 01:42.9, 1976
Japan, Laffite, Ligier Matra, 01:20.0, 1976
Argentina, Hunt, McLaren Ford, 01:51.1, 1977
Brazil, Hunt, McLaren Ford, 02:34.6, 1977
South Africa, Watson, Brabham Alfa Romeo, 01:17.6, 1977
USA West, Lauda, Ferrari, 01:22.8, 1977
Spain, Laffite, Ligier Matra, 01:20.8, 1977
Monaco, Scheckter, Wolf Ford, 01:31.1, 1977
Belgium, Nilsson, Lotus Ford, 01:27.5, 1977
Sweden, Andretti, Lotus Ford, 01:27.6, 1977
