team_key,colour_key,meeting_key,session_key
12,18,1141,7768
12,18,1143,7787
12,18,1207,9069
12,18,1207,9278
12,18,1208,9071
12,18,1208,9078
12,18,1210,9088
12,18,1210,9089
12,18,1210,9090
12,18,1210,9094
12,18,1211,9095
12,18,1211,9096
12,18,1211,9097
12,18,1211,9098
12,18,1211,9102
12,18,1212,9110
12,18,1213,9112
12,18,1213,9118
12,18,1214,9119
12,18,1214,9120
12,18,1215,9127
12,18,1215,9128
12,18,1215,9129
12,18,1215,9223
12,18,1216,9134
12,18,1216,9135
12,18,1217,9144
12,18,1217,9145
12,18,1217,9149
12,18,1218,9150
12,18,1218,9151
12,18,1218,9153
12,18,1219,9158
12,18,1219,9159
12,18,1219,9161
12,18,1219,9165
12,18,1220,9166
12,18,1220,9168
12,18,1220,9173
12,18,1221,9214
12,18,1221,9215
12,18,1221,9221
12,18,1222,9207
12,18,1222,9213
12,18,1223,9174
12,18,1223,9175
12,18,1223,9177
12,18,1223,9181
12,18,1224,9204
12,18,1224,9205
12,18,1224,9304
12,18,1224,9308
12,18,1225,9182
12,18,1225,9183
12,18,1225,9184
12,18,1225,9189
12,18,1226,9190
12,18,1226,9193
12,18,1226,9197
12,19,1229,9466
12,19,1229,9467
12,19,1229,9468
12,19,1229,9472
12,19,1230,9473
12,19,1230,9474
12,19,1230,9475
12,19,1230,9476
12,19,1230,9480
12,19,1231,9483
12,19,1231,9484
2,2,1140,7763
2,2,1140,7764
2,2,1140,9222
2,2,1141,7765
2,2,1141,7766
2,2,1141,7767
2,2,1141,7768
2,2,1143,7787
2,2,1207,9069
2,2,1207,9278
2,2,1208,9071
2,2,1208,9078
2,2,1210,9088
2,2,1210,9089
2,2,1210,9090
2,2,1210,9094
2,2,1211,9095
2,2,1211,9096
2,2,1211,9097
2,2,1211,9098
2,2,1211,9102
2,2,1212,9110
2,2,1213,9112
2,2,1213,9118
2,2,1214,9119
2,2,1214,9120
2,2,1215,9127
2,2,1215,9128
2,2,1215,9129
2,2,1215,9223
2,2,1216,9134
2,2,1216,9135
2,2,1217,9144
2,2,1217,9145
2,2,1217,9149
2,2,1218,9150
2,2,1218,9151
2,2,1218,9153
2,2,1219,9158
2,2,1219,9159
2,2,1219,9161
2,2,1219,9165
2,2,1220,9166
2,2,1220,9168
2,2,1220,9173
2,2,1221,9214
2,2,1221,9215
2,2,1221,9221
2,2,1222,9207
2,2,1222,9213
2,2,1223,9174
2,2,1223,9175
2,2,1223,9177
2,2,1223,9181
2,2,1224,9204
2,2,1224,9205
2,2,1224,9304
2,2,1224,9308
2,2,1225,9182
2,2,1225,9183
2,2,1225,9184
2,2,1225,9189
2,2,1226,9190
2,2,1226,9193
2,2,1226,9197
3,3,1231,9483
3,3,1231,9484
3,4,1140,7763
3,4,1140,7764
3,4,1140,9222
3,4,1141,7765
3,4,1141,7766
3,4,1141,7767
3,4,1141,7768
3,4,1143,7787
3,4,1207,9069
3,4,1207,9278
3,4,1208,9071
3,4,1208,9078
3,4,1210,9088
3,4,1210,9089
3,4,1210,9090
3,4,1210,9094
3,4,1211,9095
3,4,1211,9096
3,4,1211,9097
3,4,1211,9098
3,4,1211,9102
3,4,1212,9110
3,4,1213,9112
3,4,1213,9118
3,4,1214,9119
3,4,1214,9120
3,4,1215,9127
3,4,1215,9128
3,4,1215,9129
3,4,1215,9223
3,4,1216,9134
3,4,1216,9135
3,4,1217,9144
3,4,1217,9145
3,4,1217,9149
3,4,1218,9150
3,4,1218,9151
3,4,1218,9153
3,4,1219,9158
3,4,1219,9159
3,4,1219,9161
3,4,1219,9165
3,4,1220,9166
3,4,1220,9168
3,4,1220,9173
3,4,1221,9214
3,4,1221,9215
3,4,1221,9221
3,4,1222,9207
3,4,1222,9213
3,4,1223,9174
3,4,1223,9175
3,4,1223,9177
3,4,1223,9181
3,4,1224,9204
3,4,1224,9205
3,4,1224,9304
3,4,1224,9308
3,4,1225,9182
3,4,1225,9183
3,4,1225,9184
3,4,1225,9189
3,4,1226,9190
3,4,1226,9193
3,4,1226,9197
3,5,1229,9466
3,5,1229,9467
3,5,1229,9468
3,5,1229,9472
3,5,1230,9473
3,5,1230,9474
3,5,1230,9475
3,5,1230,9476
3,5,1230,9480
4,6,1229,9466
4,6,1229,9467
4,6,1229,9468
4,6,1229,9472
4,6,1230,9473
4,6,1230,9474
4,6,1230,9475
4,6,1230,9476
4,6,1230,9480
4,6,1231,9483
4,6,1231,9484
4,7,1140,7763
4,7,1140,7764
4,7,1140,9222
4,7,1141,7765
4,7,1141,7766
4,7,1141,7767
4,7,1141,7768
4,7,1143,7787
4,7,1207,9069
4,7,1207,9278
4,7,1208,9071
4,7,1208,9078
4,7,1210,9088
4,7,1210,9089
4,7,1210,9090
4,7,1210,9094
4,7,1211,9095
4,7,1211,9096
4,7,1211,9097
4,7,1211,9098
4,7,1211,9102
4,7,1212,9110
4,7,1213,9112
4,7,1213,9118
4,7,1214,9119
4,7,1214,9120
4,7,1215,9127
4,7,1215,9128
4,7,1215,9129
4,7,1215,9223
4,7,1216,9134
4,7,1216,9135
4,7,1217,9144
4,7,1217,9145
4,7,1217,9149
